"id";"golfer_id";"score";"course_name";"created_at"
1;11;39;"Robert A. Black";"2009-04-01 00:00:00"
2;11;41;"Robert A. Black";"2009-04-02 00:00:00"
3;11;44;"Robert A. Black";"2009-04-08 00:00:00"
4;11;44;"Robert A. Black";"2009-04-10 00:00:00"
5;12;43;"Robert A. Black";"2009-04-15 00:00:00"
6;6;45;"Robert A. Black";"2008-04-16 00:00:00"
7;2;47;"Robert A. Black";"2008-04-16 00:00:00"
8;8;40;"Robert A. Black";"2008-04-16 00:00:00"
9;4;38;"Robert A. Black";"2008-04-16 00:00:00"
10;3;46;"Robert A. Black";"2008-04-16 00:00:00"
11;7;40;"Robert A. Black";"2008-04-16 00:00:00"
12;10;43;"Robert A. Black";"2008-04-16 00:00:00"
13;6;37;"Robert A. Black";"2009-04-23 00:00:00"
14;2;41;"Robert A. Black";"2009-04-23 00:00:00"
15;8;41;"Robert A. Black";"2009-04-23 00:00:00"
16;4;43;"Robert A. Black";"2009-04-23 00:00:00"
17;3;50;"Robert A. Black";"2008-04-23 00:00:00"
18;7;43;"Robert A. Black";"2008-04-23 00:00:00"
19;10;41;"Robert A. Black";"2008-04-23 00:00:00"
20;5;42;"Robert A. Black";"2008-04-23 00:00:00"
21;6;39;"Robert A. Black";"2008-04-30 00:00:00"
22;2;41;"Robert A. Black";"2008-04-30 00:00:00"
23;8;39;"Robert A. Black";"2008-04-30 00:00:00"
24;4;41;"Robert A. Black";"2008-04-30 00:00:00"
25;3;44;"Robert A. Black";"2008-04-30 00:00:00"
26;7;41;"Robert A. Black";"2008-04-30 00:00:00"
27;10;47;"Robert A. Black";"2008-04-30 00:00:00"
28;5;45;"Robert A. Black";"2008-04-30 00:00:00"
29;1;38;"Robert A. Black";"2008-04-30 00:00:00"
30;6;36;"Robert A. Black";"2008-05-07 00:00:00"
31;8;41;"Robert A. Black";"2008-05-07 00:00:00"
32;4;40;"Robert A. Black";"2008-05-07 00:00:00"
33;3;44;"Robert A. Black";"2008-05-07 00:00:00"
34;7;45;"Robert A. Black";"2008-05-07 00:00:00"
35;10;49;"Robert A. Black";"2008-05-07 00:00:00"
36;1;35;"Robert A. Black";"2008-05-07 00:00:00"
37;2;43;"Robert A. Black";"2008-05-14 00:00:00"
38;8;38;"Robert A. Black";"2008-05-14 00:00:00"
39;4;37;"Robert A. Black";"2008-05-14 00:00:00"
40;3;46;"Robert A. Black";"2008-05-14 00:00:00"
41;7;41;"Robert A. Black";"2008-05-14 00:00:00"
42;10;48;"Robert A. Black";"2008-05-14 00:00:00"
43;5;37;"Robert A. Black";"2008-05-14 00:00:00"
44;1;38;"Robert A. Black";"2008-05-14 00:00:00"
45;6;37;"Robert A. Black";"2008-06-04 00:00:00"
46;2;41;"Robert A. Black";"2008-06-04 00:00:00"
47;8;38;"Robert A. Black";"2008-06-04 00:00:00"
48;4;36;"Robert A. Black";"2008-06-04 00:00:00"
